111thetas,111intensity,200thetas,200intensity,220thetas,220intensity,311thetas,311intensity,222thetas,222intensity,400thetas,400intensity
18.5,0.4576203168671384,21.5,1.000879323937553,31.5,9.530209104028069,37.0,2.508038673586325,50.0,1.6442489092149437,51.76,6.477275340136488
18.51,0.4656576025494523,21.51,1.01728286136652,31.51,9.749826191356163,37.01,2.5515834442397214,50.01,1.6808492257838032,51.77,6.705296085748903
18.52,0.4739083748963862,21.52,1.03409270983273,31.52,9.97711460137714,37.02,2.59627086799398,50.02,1.7186829202301217,51.78,6.945459706250096
18.53,0.4823802575478076,21.53,1.051322390471488,31.53,10.212435410862842,37.03,2.6421412289390767,50.03,1.7578059251554226,51.79,7.198635227534115
18.54,0.4910812172911906,21.54,1.0689859911697202,31.54,10.456171168042172,37.04,2.6892366000413737,50.04,1.798277373344512,51.8,7.4657699692468205
18.55,0.5000195827522398,21.55,1.0870981952929228,31.55,10.708727441284118,37.05,2.737600939202945,50.05,1.840159819536196,51.81,7.7478980597920675
18.56,0.5092040642832445,21.56,1.1056743121239514,31.56,10.970534499514212,37.06,2.7872801913855767,50.06,1.8835194802917976,51.82,8.046150036482517
18.57,0.5186437751377502,21.57,1.1247303091313392,31.57,11.242049137314043,37.07,2.8383223972399465,50.07,1.9284264936647053,51.83,8.361763689225413
18.58,0.5283482540273261,21.58,1.1442828461936003,31.58,11.523756659094314,37.08,2.8907778087178646,50.08,1.9749552005571545,51.84,8.696096332108183
18.59,0.5383274891645438,21.59,1.1643493119163077,31.59,11.8161730383672,37.09,2.9446990121839134,50.09,2.023184449853248,51.85,9.05063871794346
18.6,0.5485919439049369,21.6,1.1849478621891514,31.6,12.119847269973393,37.1,3.000141059587209,50.1,2.0731979296467475,51.86,9.427030847158484
18.61,0.55915258411065,21.61,1.2060974611423134,31.61,12.435363935197243,37.11,3.0571616083015214,50.11,2.1250845271389167,51.87,9.827079965486362
18.62,0.5700209073690221,21.62,1.2278179246741183,31.62,12.763346002042484,37.12,3.1158210702929234,50.12,2.178938720069336,51.88,10.252781096115273
18.63,0.5812089742110672,21.63,1.2501299667358574,31.63,13.10445788559286,37.13,3.1761827713324675,50.13,2.2348610028686546,51.89,10.706340512888834
18.64,0.5927294414878111,21.64,1.2730552485752422,31.64,13.459408796393113,37.14,3.2383131210327143,50.14,2.2929583510874907,51.9,11.190202633846916
18.65,0.6045955980763741,21.65,1.296616431156158,31.65,13.828956408193998,37.15,3.3022817945567353,50.15,2.3533447280701547,51.91,11.707080901227796
18.66,0.6168214031035044,21.66,1.3208372309910958,31.66,14.213910880296886,37.16,3.368161926922013,50.16,2.416141638307792,51.92,12.259993317980495
18.67,0.6294215268911698,21.67,1.3457424796420514,31.67,14.61513927415096,37.17,3.4360303209060143,50.17,2.481478732436039,51.93,12.8523034353438
18.68,0.6424113948479336,21.68,1.3713581871679212,31.68,15.033570408913718,37.18,3.5059676696501887,50.18,2.5494944694410973,51.94,13.487767735428214
18.69,0.6558072345505834,21.69,1.3977116098200342,31.69,15.470200206455212,37.19,3.5780587951608522,50.19,2.62033684232056,51.95,14.170590532046855
18.7,0.6696261262835018,21.7,1.424831322313584,31.7,15.92609758289866,37.2,3.6523929040145102,50.2,2.6941641742185936,51.96,14.905487728415167
18.71,0.6838860573289357,21.71,1.4527472950318074,31.71,16.40241095138319,37.21,3.729063861698601,50.21,2.771145992939032,51.97,15.697761028940187
18.72,0.698605980329249,21.72,1.4814909765507258,31.72,16.900375409447648,37.22,3.808170487153799,50.22,2.8514639927473038,51.98,16.55338451253159
18.73,0.7138058760738144,21.73,1.5110953819075703,31.73,17.421320694490124,37.23,3.88981686923177,50.23,2.9353130935219798,51.99,17.47910584633579
18.74,0.7295068210975505,21.74,1.5415951870734894,31.74,17.96668000234009,37.24,3.9741127069492483,50.24,3.0229026086367865,52.0,18.4825648621098
18.75,0.7457310605169213,21.75,1.573026830133771,31.75,18.537999777396934,37.25,4.06117367560089,50.25,3.1144575344646133,52.01,19.572432743922892
18.76,0.7625020865716882,21.76,1.6054286197244592,31.76,19.136950598311905,37.26,4.151121820998006,50.26,3.2102199761343173,52.02,20.758575696281486
18.77,0.7798447233886074,21.77,1.6388408513258452,31.77,19.765339301241244,37.27,4.244085984323589,50.27,3.310450726169518,52.03,22.052247684730176
18.78,0.7977852185361501,21.78,1.6733059320693708,31.78,20.425122503688158,37.28,4.340202260346182,50.28,3.41543101494782,52.04,23.46631766918727
18.79,0.8163513419984569,21.79,1.7088685147767062,31.79,21.11842171644284,37.29,4.439614492014151,50.29,3.52546445458608,52.05,25.015537674578077
18.8,0.8355724932630669,21.8,1.7455756420191784,31.8,21.84754025977636,37.3,4.542474804760562,50.3,3.6408792009438264,52.06,26.716859032429962
18.81,0.8554798172904763,21.81,1.7834769010613802,31.81,22.614982233595423,37.31,4.648944184197521,50.31,3.762030362023518,52.07,28.589805109793424
18.82,0.8761063302167048,21.82,1.8226245906382208,31.82,23.423473830719953,37.32,4.7591931012637625,50.32,3.889302685212323,52.08,30.65690967862713
18.83,0.8974870557323507,21.83,1.8630739006078247,31.83,24.27598732888596,37.33,4.873402189323627,50.33,4.0231135606699056,52.09,32.944230514057196
18.84,0.919659173186098,21.84,1.9048831056279227,31.84,25.175768151965414,37.34,4.991762978196882,50.34,4.163916383837491,52.1,35.48194739610982
18.85,0.9426621785771584,21.85,1.9481137741186425,31.85,26.126365455860995,37.35,5.114478690643344,50.35,4.3122043266880565,52.11,38.30505166428581
18.86,0.9665380597331577,21.86,1.9928309939046776,31.86,27.131666771726664,37.36,5.2417651074348415,50.36,4.468514575131995,52.12,41.45412956860858
18.87,0.9913314871180416,21.87,2.0391036160735214,31.87,28.195937331078767,37.37,5.3738515078287055,50.37,4.633433099157821,52.13,44.97623180298772
18.88,1.0170900218819785,21.88,2.087004518747264,31.88,29.323864807173162,37.38,5.510981693029032,50.38,4.80760003310156,52.14,48.92580348168106
18.89,1.0438643429547287,21.89,2.1366108926459084,31.89,30.5206103386272,37.39,5.653415101086532,50.39,4.991715756215148,52.15,53.36561724634605
18.9,1.0717084951976423,21.9,2.1880045505203785,31.9,31.791866859430204,37.4,5.801428022668098,50.4,5.186547778853981,52.16,58.367599318453465
18.91,1.1006801608727954,21.91,2.2412722627598805,31.91,33.14392595029439,37.41,5.955314928228764,50.41,5.392938557598806,52.17,64.01335276623209
18.92,1.130840956962865,21.92,2.2965061217299825,31.92,34.58375465715308,37.42,6.1153899183721885,50.42,5.611814384079852,52.18,70.39404869747001
18.93,1.1622567611893928,21.93,2.3538039376827946,31.93,36.119084003021385,37.43,6.281988310599647,50.43,5.8441955178964475,52.19,77.60915636489513
18.94,1.1949980699338882,21.94,2.4132696693993907,31.94,37.75851126116029,37.44,6.455468377258089,50.44,6.091207764742168,52.2,85.76320159815643
18.95,1.229140391673714,21.95,2.475013893084253,31.95,39.51161847556421,37.45,6.636213251321322,50.45,6.35409573775226,52.21,94.95938047034844
18.96,1.2647646800109036,21.96,2.5391543134380514,31.96,41.389110228275435,37.46,6.824633018721684,50.46,6.634238084590218,52.22,105.28845906170969
18.97,1.301957810904811,21.97,2.6058163212920413,31.97,43.40297428612678,37.47,7.021167018322481,50.47,6.933165016593102,52.23,116.81110634965984
18.98,1.3408131093321327,21.98,2.675133602707088,31.98,45.566669543473814,37.48,7.226286373327392,50.48,7.252578541547027,52.24,129.53194852634604
18.99,1.3814309313002873,21.99,2.7472488050260604,31.99,47.895346652222926,37.49,7.440496781028575,50.49,7.5943758810734865,52.25,143.36472578526042
19.0,1.423919307950843,22.0,2.8223142660359866,32.0,50.406107947984154,37.5,7.664341591345336,50.5,7.960676650527932,52.26,158.09063776636773
19.01,1.468394659423165,22.01,2.9004928131518937,32.01,53.11831480867338,37.51,7.898405208691112,50.51,8.353854498021919,52.27,173.31671064239328
19.02,1.5149825872296068,22.02,2.981958640397305,32.02,56.05395250754351,37.52,8.143316856396224,50.52,8.776574045024665,52.28,188.44725038263482
19.03,1.5638187551446543,22.03,3.0668982719378617,32.03,59.23806506173872,37.53,8.399754748330324,50.53,9.231834150811773,52.29,202.6867318946864
19.04,1.6150498700636635,22.04,3.1555116220464074,32.04,62.69927568270854,37.54,8.668450718619015,50.54,9.723018745425012,52.3,215.0923803585488
19.05,1.668834775978393,22.05,3.2480131626624016,32.05,66.47041240798107,37.55,8.950195367576843,50.55,10.253956751770325,52.31,224.68466704680213
19.06,1.72534567618782,22.06,3.34463321117786,32.06,70.58926360460038,37.56,9.245843790371488,50.56,10.828992961047096,52.32,230.6033302368511
19.07,1.7847695011693545,22.07,3.4456193527729257,32.07,75.09949464348357,37.57,9.556321964673998,50.57,11.453072154702705,52.33,232.27234865740846
19.08,1.8473094422360528,22.08,3.5512380135650496,32.08,80.05176563697253,37.58,9.882633884903477,50.58,12.131839303399104,52.34,229.5230205909856
19.09,1.9131866742804853,22.09,3.6617762030771823,32.09,85.50510136520606,37.59,10.22586954391112,50.59,12.871759348127634,52.35,222.63177194249675
19.1,1.982642294642493,22.1,3.7775434471143736,32.1,91.5285792822648,37.6,10.587213878445274,50.6,13.680260917719831,52.36,212.2586139328768
19.11,2.0559395095531707,22.11,3.8988739351328103,32.11,98.20342100404108,37.61,10.967956812902463,50.61,14.565909407513557,52.37,199.30899681360057
19.12,2.1333661048330352,22.12,4.0261289096546005,32.12,105.62559859338431,37.62,11.369504557206975,50.62,15.538616194917989,52.38,184.7665671771511
19.13,2.215237243727869,22.13,4.159699329314594,32.13,113.90910153777529,37.63,11.793392339817094,50.63,16.609892472537002,52.39,169.54585248926918
19.14,2.3018986421565746,22.14,4.300008841824595,32.14,123.19005664486113,37.64,12.241298786548489,50.64,17.79315832766911,52.4,154.39582946980772
19.15,2.3937301804700546,22.15,4.447517108621495,32.15,133.63195534202666,37.65,12.715062191082055,50.65,19.104120393698594,52.41,139.86093928139707
19.16,2.4911500213963387,22.16,4.6027235293851785,32.16,145.43232665083158,37.66,13.216698964766364,50.66,20.5612347607571,52.42,126.28778570882612
19.17,2.5946193165544456,22.17,4.766171422135019,32.17,158.8313067275127,37.67,13.748424603043036,50.67,22.18627597495437,52.43,113.85845964742177
19.18,2.7046475992463304,22.18,4.938452723465764,32.18,174.1227064530597,37.68,14.312677565154994,50.68,24.005037958469227,52.44,102.63313984071944
19.19,2.821798979777649,22.19,5.120213283913703,32.19,191.66837753813925,37.69,14.912146534849999,50.69,26.048198526908287,52.45,92.59048527384869
19.2,2.9466992820720987,22.2,5.312158845773418,32.2,211.91693437636292,37.7,15.549801615080804,50.7,28.352385608282148,52.46,83.66034131718888
19.21,3.080044287781308,22.21,5.515061805299661,32.21,235.42820524630798,37.71,16.228930112441684,50.71,30.96148952110353,52.47,75.74752293272965
19.22,3.2226092876494183,22.22,5.729768878591244,32.22,262.9051401942065,37.72,16.953177691178603,50.72,33.92826998506176,52.48,68.74768730662502
19.23,3.375260181103214,22.23,5.9572098111549145,32.23,295.2352091984379,37.73,17.726595826972087,50.73,37.31630521762069,52.49,62.55710689023303
19.24,3.53896641584214,22.24,6.198407295884057,32.24,333.5433494591316,37.74,18.55369667350953,50.74,41.20231618446753,52.5,57.078149790125416
19.25,3.7148161221049585,22.25,6.45448829385692,32.25,379.2576988407084,37.75,19.43951667779173,50.75,45.678857876106434,52.51,52.22194153614871
19.26,3.904033874492397,22.26,6.726696988035847,32.26,434.18641787501457,37.76,20.389690552929217,50.76,50.8572757974961,52.52,47.90928583230943
19.27,4.108001611898429,22.27,7.016409643010805,32.27,500.59623402827117,37.77,21.41053755207328,50.77,56.870634670799035,52.53,44.0705774283456
19.28,4.328283368640975,22.28,7.325151696059097,32.28,581.2660475119142,37.78,22.50916239969949,50.78,63.87596290142145,52.54,40.6451797665986
19.29,4.566654624355754,22.29,7.654617468128277,32.29,679.4544175646834,37.79,23.69357374639121,50.79,72.05450755839432,52.55,37.580558346555975
19.3,4.825137275902687,22.3,8.006692960574657,32.3,798.660559004236,37.8,24.972823645655915,50.8,81.60761778491937,52.56,34.83134064946335
19.31,5.106041483669607,22.31,8.383482297980146,32.31,941.9800896582359,37.81,26.357172338259467,50.81,92.74426355265835,52.57,32.35839724639763
19.32,5.412015963512578,22.32,8.787338493450584,32.32,1110.8076606985117,37.82,27.858283611938983,50.82,105.65418326913088,52.58,30.127991997895712
19.33,5.7461087058087035,22.33,9.220899355921176,32.33,1302.746836083225,37.83,29.489457234657532,50.83,120.45903729310152,52.59,28.111021606105773
19.34,6.111840633818054,22.34,9.687129536204047,32.34,1509.0370426332058,37.84,31.265906504764647,50.84,137.1348134620958,52.6,26.282349089991023
19.35,6.5132954039285025,22.35,10.189369928788325,32.35,1712.6379180148556,37.85,33.2050909074374,50.85,155.40575411256287,52.61,24.62022736780987
19.36,6.955229453511354,22.36,10.731395921409328,32.36,1888.8638898591507,37.86,35.32711632295978,50.86,174.62709177610887,52.62,23.105805090691682
19.37,7.443207590269909,22.37,11.317486329187226,32.37,2010.1189909118616,37.87,37.655218337647256,50.87,193.70020034575103,52.63,21.72270533725862
19.38,7.9837709888256105,22.38,11.952505284337803,32.38,2054.1374404971075,37.88,40.21634813751089,50.88,211.08728797009687,52.64,20.45666763078956
19.39,8.584646551102523,22.39,12.641999901740625,32.39,2012.188598183692,37.89,43.04188543492293,50.89,224.988536275129,52.65,19.295244307166254
19.4,9.25500938245894,22.4,13.392317238666632,32.4,1892.6002839539285,37.9,46.168509152988975,50.9,233.68994569386132,52.66,18.22754315283516
19.41,10.005813890248966,22.41,14.210744958156498,32.41,1717.3944856904834,37.91,49.63926447799077,50.91,235.99446502792333,52.67,17.24400922596616
19.42,10.850214073848255,22.42,15.105681248580213,32.42,1514.1442155712589,37.92,53.50487472126903,50.92,231.5691010870561,52.68,16.336239751815505
19.43,11.804100417362756,22.43,16.08684102481227,32.43,1307.6808759109842,37.93,57.82535851996558,50.93,221.04740069941607,52.69,15.496826885740614
19.44,12.886790047298444,22.44,17.16550734292964,32.44,1115.254304761641,37.94,62.672027429139604,50.94,205.83661444339504,52.7,14.719223939846716
